dimension,birth,death
1,61.2651857457258,113.04415301101032
1,61.3297258608842,104.14546702145998
1,61.40274859399184,100.35432984664769
1,47.02431596226678,79.24458873214965
1,62.43431535451449,94.38476196195734
1,55.36456074945361,87.0980172407814
1,48.64800738108112,74.59140006991794
1,43.68795999816732,66.55485333110299
1,86.29505449751609,108.70543011064376
1,47.98846181155927,67.4927625186674
1,43.159634037432426,61.14362428687348
1,97.55338697223898,115.12835047923036
1,29.07452715867594,46.28987887472941
1,77.91860285378712,94.6683141680718
1,92.04874928516412,108.23950370298544
1,32.685687584974225,47.912506030763446
1,65.62098622434242,80.47722624970388
1,57.39844324013144,71.92254574839562
1,62.4786417133676,76.92940533208815
1,57.46351442704456,70.77916354137223
1,62.16485269899474,75.47848806716229
1,29.056571900827286,42.346894858492
1,51.4971130560936,64.03122294359002
1,61.27592972526018,73.40930802809554
1,28.487433779323112,39.99633969706026
1,38.43225384050068,49.125618746049646
1,61.70350198348846,71.50048175916179
1,78.20880759369578,87.94775380223653
1,38.77108239051015,47.90905134757588
1,33.97643269611244,43.08623083723898
1,58.78901256146912,67.58396511057252
1,32.34607345210006,40.884531534980056
1,26.422306318480764,34.340164713773845
1,64.45556740630738,72.30880329029628
1,30.32703484504148,37.09808330600927
1,47.78162373560982,54.47424672161367
1,31.11202958483521,37.68426662907152
1,35.37266266949004,41.65209071167685
1,27.070828622219256,33.12707701147464
1,39.3509080427669,45.06981604841333
1,116.29539347150968,121.97483029720765
1,25.84279518926885,31.04784305622443
1,26.46978898715104,31.559105333514307
1,85.88011858581557,90.8347218543349
1,51.07591974461464,55.917739847455664
1,68.5536712460316,73.31994619458906
1,18.0002918297983,22.724620656939145
1,26.91263440041348,31.269099472226284
1,29.05275405072565,33.39862657400591
1,26.297981927766592,30.46542869039498
1,87.01454501226763,91.16739300673056
1,122.92158541217272,127.02547362957496
1,25.937355026393,30.035309933448247
1,27.460873092102265,31.48894448792237
1,51.49683940715745,55.14801205378823
1,53.4828014719211,56.97125314973933
1,42.73803513602664,46.08590314924008
1,27.944427953352605,31.274897068461694
1,24.04631317066257,27.30108912079783
1,18.755837892487,21.943965158814915
1,17.3482700967294,20.45756160884459
1,25.777312507242275,28.86935372331258
1,29.85148603006386,32.63555006001085
1,46.00888103298305,48.776624773854
1,19.914293542493287,22.49149213986984
1,49.70234868667166,52.255109253077336
1,36.527483848869686,38.98456468806916
1,65.23404302116622,67.5583242334292
1,25.752295197309987,28.002587803092585
1,52.03915593670565,54.1879109372856
1,91.17192308676108,93.316193375739
1,76.35887739156685,78.45611378916105
1,58.46759412300226,60.41972084957947
1,30.90095099304349,32.83244547571445
1,45.231464637804585,47.10874354313019
1,49.31406250384556,51.18229152003785
1,17.610293030052258,19.43407994973853
1,154.41976109617653,156.1721049349711
1,72.45276045153824,74.16592006366291
1,27.526271329964683,29.039909340234423
1,25.46377681096476,26.93499127964553
1,28.212575472108373,29.128738609658683
1,22.293541182135986,23.06806449667181
1,22.49208509560044,23.114897762652877
1,24.1254697790929,24.551455348931214
1,23.61700787546769,24.026840455409644
1,56.90267047776174,57.22955850258542
1,44.645783864018064,44.801175153548016
1,69.65655903518105,69.79614010956858
1,27.5416688085787,27.596852708338965
0,0.0,inf
0,0.0,70.59850839040881
0,0.0,66.9260462249544
0,0.0,65.02564620732329
0,0.0,61.74451753174153
0,0.0,59.87133709569181
0,0.0,59.74232847929618
0,0.0,57.90414097234115
0,0.0,57.01280342135375
0,0.0,56.81597752293892
0,0.0,54.61760440999402
0,0.0,51.235431930237134
0,0.0,51.11941631364782
0,0.0,51.00568812707783
0,0.0,50.71518227084014
0,0.0,50.38944769765449
0,0.0,50.136625754069286
0,0.0,49.32542781631532
0,0.0,48.912129893062975
0,0.0,48.83127211678805
0,0.0,48.640655202487096
0,0.0,47.99357772334934
0,0.0,47.79990972598904
0,0.0,46.71754047493511
0,0.0,46.21150739130608
0,0.0,46.091121345545325
0,0.0,46.036998758347465
0,0.0,45.8455100708054
0,0.0,45.80196797634837
0,0.0,45.68252106162062
0,0.0,44.88801598290804
0,0.0,42.15465590793647
0,0.0,42.0732262870124
0,0.0,41.73927742919616
0,0.0,41.31477022048373
0,0.0,40.646283501789455
0,0.0,40.57942756007406
0,0.0,40.55222683130264
0,0.0,40.14823604207904
0,0.0,39.64600407639761
0,0.0,39.63929160624252
0,0.0,39.45385154409135
0,0.0,39.32810327630477
0,0.0,39.1685380142054
0,0.0,38.96580111804653
0,0.0,38.8808762196334
0,0.0,38.77464277523207
0,0.0,37.65624509969298
0,0.0,37.27079319135707
0,0.0,37.0897140900006
0,0.0,36.98019095352648
0,0.0,36.90945547851974
0,0.0,36.70335027613754
0,0.0,35.76610949173856
0,0.0,35.54963422247491
0,0.0,35.01758877166117
0,0.0,34.35851096586993
0,0.0,34.3090309361158
0,0.0,33.63121478569073
0,0.0,33.06148798739819
0,0.0,32.936230226126575
0,0.0,32.61142619028597
0,0.0,32.28017543255914
0,0.0,31.967775194031187
0,0.0,31.5559898054462
0,0.0,31.47834443506397
0,0.0,31.458464416418234
0,0.0,31.442440347249853
0,0.0,31.267576237832625
0,0.0,31.149442394870487
0,0.0,31.103117916894632
0,0.0,30.642837442398143
0,0.0,30.62936945530317
0,0.0,30.59297143470157
0,0.0,30.426618410703117
0,0.0,30.046406057659425
0,0.0,29.931101658911164
0,0.0,29.82506110731444
0,0.0,29.77833148256621
0,0.0,29.456620383741477
0,0.0,29.44438964911045
0,0.0,29.435489088896027
0,0.0,29.12599437822832
0,0.0,29.048940237906404
0,0.0,29.00053542041196
0,0.0,28.4162821965652
0,0.0,27.89414701042667
0,0.0,27.75241912907769
0,0.0,27.687260555183297
0,0.0,27.460688133944284
0,0.0,27.31430233377825
0,0.0,27.29133667765112
0,0.0,27.22358933690104
0,0.0,27.21222001618121
0,0.0,27.1328689663462
0,0.0,26.86992556356364
0,0.0,26.83282730702022
0,0.0,26.5226289838812
0,0.0,26.397394195399976
0,0.0,26.36402047889469
0,0.0,26.059259611531804
0,0.0,25.946141134215125
0,0.0,25.903462399762063
0,0.0,25.76739438201669
0,0.0,25.64327486614986
0,0.0,25.519598760334343
0,0.0,25.516704711618665
0,0.0,25.228523462233245
0,0.0,25.154859341423037
0,0.0,24.99312167122096
0,0.0,24.98200874024881
0,0.0,24.949299198499
0,0.0,24.939043264466463
0,0.0,24.888840224380093
0,0.0,24.86477147982657
0,0.0,24.62350475742505
0,0.0,24.59144438731558
0,0.0,24.55207337891491
0,0.0,24.54574064918525
0,0.0,24.391392753587105
0,0.0,24.354556928190544
0,0.0,24.251222186058428
